table_id,canonical_key,canonical_section,canonical_item,company,document_year,year,scope,restated,unit,source_count,mapping_status,conflict_status,final_value,source_rows
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::培训费,,培训费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,34509669.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:培训费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::业务活动费,,业务活动费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,48214850.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:业务活动费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::业务活动费,,业务活动费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,42177299.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:业务活动费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::差旅费,,差旅费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,31565601.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:差旅费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::差旅费,,差旅费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,15413220.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:差旅费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::通讯费,,通讯费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,30732512.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:通讯费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::通讯费,,通讯费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,31134818.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:通讯费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::专业服务费,,专业服务费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,29561704.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:专业服务费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::专业服务费,,专业服务费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,34700464.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:专业服务费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::长期待摊费用摊销,,长期待摊费用摊销,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,27979591.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:长期待摊费用摊销
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::长期待摊费用摊销,,长期待摊费用摊销,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,35562258.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:长期待摊费用摊销
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::广告宣传费,,广告宣传费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,26813297.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:广告宣传费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::广告宣传费,,广告宣传费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,24476049.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:广告宣传费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::公杂费,,公杂费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,17642673.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:公杂费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::公杂费,,公杂费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,18938952.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:公杂费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::业务招待费,,业务招待费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,15837268.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:业务招待费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::业务招待费,,业务招待费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,20437410.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:业务招待费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::水电费,,水电费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,12280580.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:水电费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::水电费,,水电费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,11244764.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:水电费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::租赁负债利息支出,,租赁负债利息支出,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,9606004.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:租赁负债利息支出
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::租赁负债利息支出,,租赁负债利息支出,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,8315377.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:租赁负债利息支出
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::会议费,,会议费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,6298689.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:会议费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::会议费,,会议费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,4444698.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:会议费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::印刷费,,印刷费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,5011305.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:印刷费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::印刷费,,印刷费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,6616015.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:印刷费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::银行结算费,,银行结算费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,3602676.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:银行结算费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::银行结算费,,银行结算费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,5543677.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:银行结算费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::其他税费,,其他税费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,1428083.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:其他税费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::其他税费,,其他税费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,1016349.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:其他税费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::其他,,其他,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,146098628.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:其他
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::其他,,其他,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,148325734.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:其他
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::合计,,合计,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,2894637944.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:合计
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::合计,,合计,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,2924045972.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:合计
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::工资及福利费,,工资及福利费,建信人寿,2024,2024.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,1301135944.0,建信人寿2024年报__业务及管理费__20260721T155107:p150:工资及福利费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::工资及福利费,,工资及福利费,建信人寿,2024,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,1252097039.0,建信人寿2024年报__业务及管理费__20260721T155107:p150:工资及福利费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::资产托管费,,资产托管费,建信人寿,2024,2024.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,408559509.0,建信人寿2024年报__业务及管理费__20260721T155107:p150:资产托管费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::资产托管费,,资产托管费,建信人寿,2024,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,310634779.0,建信人寿2024年报__业务及管理费__20260721T155107:p150:资产托管费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::资产折旧及摊销,,资产折旧及摊销,建信人寿,2024,2024.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,354381397.0,建信人寿2024年报__业务及管理费__20260721T155107:p150:资产折旧及摊销
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::资产折旧及摊销,,资产折旧及摊销,建信人寿,2024,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,327864954.0,建信人寿2024年报__业务及管理费__20260721T155107:p150:资产折旧及摊销
